/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y
1.785000000000001e-07,0,1.785000000000001e-07,0.01785000000000284,1.785000000000001e-07,0,1.785000000000001e-07,0,1.785000000000001e-07,0,1.785000000000001e-07,0,1.785000000000001e-07,0
1.836000000000002e-07,0,1.836000000000002e-07,0.01836000000000543,1.836000000000002e-07,0,1.836000000000002e-07,0,1.836000000000002e-07,0,1.836000000000002e-07,0,1.836000000000002e-07,0
1.887000000000002e-07,0,1.887000000000002e-07,0.01887000000000647,1.887000000000002e-07,0,1.887000000000002e-07,0,1.887000000000002e-07,0,1.887000000000002e-07,0,1.887000000000002e-07,0
1.938000000000002e-07,0,1.938000000000002e-07,0.01938000000000169,1.938000000000002e-07,0,1.938000000000002e-07,0,1.938000000000002e-07,0,1.938000000000002e-07,0,1.938000000000002e-07,0
1.989000000000002e-07,0,1.989000000000002e-07,0.01989000000000422,1.989000000000002e-07,0,1.989000000000002e-07,0,1.989000000000002e-07,0,1.989000000000002e-07,0,1.989000000000002e-07,0
2.040000000000002e-07,0,2.040000000000002e-07,0.02040000000000426,2.040000000000002e-07,0,2.040000000000002e-07,0,2.040000000000002e-07,0,2.040000000000002e-07,0,2.040000000000002e-07,0
2.091000000000002e-07,0.015625,2.091000000000002e-07,0.0209100000000021,2.091000000000002e-07,1.8,2.091000000000002e-07,0,2.091000000000002e-07,0,2.091000000000002e-07,0,2.091000000000002e-07,0
2.142000000000002e-07,0.015625,2.142000000000002e-07,0.02142000000000302,2.142000000000002e-07,1.8,2.142000000000002e-07,0,2.142000000000002e-07,0,2.142000000000002e-07,0,2.142000000000002e-07,0
2.193000000000002e-07,0.015625,2.193000000000002e-07,0.02193000000000372,2.193000000000002e-07,1.8,2.193000000000002e-07,0,2.193000000000002e-07,0,2.193000000000002e-07,0,2.193000000000002e-07,0
2.244000000000003e-07,0.015625,2.244000000000003e-07,0.02244000000000224,2.244000000000003e-07,1.8,2.244000000000003e-07,0,2.244000000000003e-07,0,2.244000000000003e-07,0,2.244000000000003e-07,0
2.295000000000003e-07,0.015625,2.295000000000003e-07,0.02295000000000144,2.295000000000003e-07,1.8,2.295000000000003e-07,0,2.295000000000003e-07,0,2.295000000000003e-07,0,2.295000000000003e-07,0
2.346000000000003e-07,0.015625,2.346000000000003e-07,0.02346000000000082,2.346000000000003e-07,1.8,2.346000000000003e-07,0,2.346000000000003e-07,0,2.346000000000003e-07,0,2.346000000000003e-07,0
2.397000000000003e-07,0.015625,2.397000000000003e-07,0.02397000000000243,2.397000000000003e-07,1.8,2.397000000000003e-07,0,2.397000000000003e-07,0,2.397000000000003e-07,0,2.397000000000003e-07,0
2.448000000000003e-07,0.015625,2.448000000000003e-07,0.02448000000000099,2.448000000000003e-07,1.8,2.448000000000003e-07,0,2.448000000000003e-07,0,2.448000000000003e-07,0,2.448000000000003e-07,0
2.499000000000003e-07,0.015625,2.499000000000003e-07,0.02499000000000038,2.499000000000003e-07,1.8,2.499000000000003e-07,0,2.499000000000003e-07,0,2.499000000000003e-07,0,2.499000000000003e-07,0
2.550000000000003e-07,0.015625,2.550000000000003e-07,0.02550000000000005,2.550000000000003e-07,1.8,2.550000000000003e-07,0,2.550000000000003e-07,0,2.550000000000003e-07,0,2.550000000000003e-07,0
2.601000000000003e-07,0.015625,2.601000000000003e-07,0.02601000000000699,2.601000000000003e-07,1.8,2.601000000000003e-07,0,2.601000000000003e-07,0,2.601000000000003e-07,0,2.601000000000003e-07,0
2.652000000000003e-07,0.015625,2.652000000000003e-07,0.02652000000000705,2.652000000000003e-07,1.8,2.652000000000003e-07,0,2.652000000000003e-07,0,2.652000000000003e-07,0,2.652000000000003e-07,0
2.703000000000003e-07,0.015625,2.703000000000003e-07,0.02703000000000526,2.703000000000003e-07,1.8,2.703000000000003e-07,0,2.703000000000003e-07,0,2.703000000000003e-07,0,2.703000000000003e-07,0
2.754000000000004e-07,0.015625,2.754000000000004e-07,0.02754000000000419,2.754000000000004e-07,1.8,2.754000000000004e-07,0,2.754000000000004e-07,0,2.754000000000004e-07,0,2.754000000000004e-07,0
2.805000000000004e-07,0.015625,2.805000000000004e-07,0.0280500000000065,2.805000000000004e-07,1.8,2.805000000000004e-07,0,2.805000000000004e-07,0,2.805000000000004e-07,0,2.805000000000004e-07,0
2.856000000000004e-07,0.015625,2.856000000000004e-07,0.02856000000000987,2.856000000000004e-07,1.8,2.856000000000004e-07,0,2.856000000000004e-07,0,2.856000000000004e-07,0,2.856000000000004e-07,0
2.907000000000004e-07,0.015625,2.907000000000004e-07,0.02907000000000537,2.907000000000004e-07,1.8,2.907000000000004e-07,0,2.907000000000004e-07,0,2.907000000000004e-07,0,2.907000000000004e-07,0
2.958000000000004e-07,0.015625,2.958000000000004e-07,0.02958000000000575,2.958000000000004e-07,1.8,2.958000000000004e-07,0,2.958000000000004e-07,0,2.958000000000004e-07,0,2.958000000000004e-07,0
3.009000000000004e-07,0.015625,3.009000000000004e-07,0.03009000000000546,3.009000000000004e-07,1.8,3.009000000000004e-07,0,3.009000000000004e-07,0,3.009000000000004e-07,0,3.009000000000004e-07,0
3.060000000000004e-07,0.015625,3.060000000000004e-07,0.03060000000000593,3.060000000000004e-07,1.8,3.060000000000004e-07,0,3.060000000000004e-07,0,3.060000000000004e-07,0,3.060000000000004e-07,0
