0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
5.8582e-12,0,5.8582e-12,0,5.8582e-12,0,5.8582e-12,0,5.8582e-12,0,5.8582e-12,0,5.8582e-12,0,5.8582e-12,0.20002
6.9166e-12,0,6.9166e-12,0,6.9166e-12,0,6.9166e-12,0,6.9166e-12,0,6.9166e-12,0,6.9166e-12,0,6.9166e-12,0.20002
8.4583e-12,0,8.4583e-12,0,8.4583e-12,0,8.4583e-12,0,8.4583e-12,0,8.4583e-12,0,8.4583e-12,0,8.4583e-12,0.20002
1e-11,0,1e-11,0,1e-11,0,1e-11,0,1e-11,0,1e-11,0,1e-11,0,1e-11,0.20003
1.0256e-11,0,1.0256e-11,0,1.0256e-11,0,1.0256e-11,0,1.0256e-11,0,1.0256e-11,0,1.0256e-11,0,1.0256e-11,0.20003
1.0769e-11,0,1.0769e-11,0,1.0769e-11,0,1.0769e-11,0,1.0769e-11,0,1.0769e-11,0,1.0769e-11,0,1.0769e-11,0.20003
1.1233e-11,0,1.1233e-11,0,1.1233e-11,0,1.1233e-11,0,1.1233e-11,0,1.1233e-11,0,1.1233e-11,0,1.1233e-11,0.20003
1.2162e-11,0,1.2162e-11,0,1.2162e-11,0,1.2162e-11,0,1.2162e-11,0,1.2162e-11,0,1.2162e-11,0,1.2162e-11,0.20003
1.4018e-11,0,1.4018e-11,0,1.4018e-11,0,1.4018e-11,0,1.4018e-11,0,1.4018e-11,0,1.4018e-11,0,1.4018e-11,0.20004
1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0.20005
2.1096e-11,0,2.1096e-11,0,2.1096e-11,0,2.1096e-11,0,2.1096e-11,0,2.1096e-11,0,2.1096e-11,0,2.1096e-11,0.20006
2.5713e-11,0,2.5713e-11,0,2.5713e-11,0,2.5713e-11,0,2.5713e-11,0,2.5713e-11,0,2.5713e-11,0,2.5713e-11,0.20007
3.0301e-11,0,3.0301e-11,0,3.0301e-11,0,3.0301e-11,0,3.0301e-11,0,3.0301e-11,0,3.0301e-11,0,3.0301e-11,0.20009
3.4093e-11,0,3.4093e-11,0,3.4093e-11,0,3.4093e-11,0,3.4093e-11,0,3.4093e-11,0,3.4093e-11,0,3.4093e-11,0.2001
3.8276e-11,0,3.8276e-11,0,3.8276e-11,0,3.8276e-11,0,3.8276e-11,0,3.8276e-11,0,3.8276e-11,0,3.8276e-11,0.20011
