/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
1.00046e-07,1,7.65067e-07,1,6.129041899999999e-11,0,6.129041899999999e-11,0,6.129041899999999e-11,0,6.129041899999999e-11,0,6.129041899999999e-11,0,6.129041899999999e-11,4.238023057227431e-06,6.129041899999999e-11,0,6.129041899999999e-11,0.2001732945633181
1.05067e-07,0,7.750669999999999e-07,0,6.50914216e-11,0,6.50914216e-11,0,6.50914216e-11,0,6.50914216e-11,0,6.50914216e-11,0,6.50914216e-11,4.239063986060719e-06,6.50914216e-11,0,6.50914216e-11,0.2001840416421294
1.10046e-07,1,8.35067e-07,1,6.981053339999999e-11,0,6.981053339999999e-11,0,6.981053339999999e-11,0,6.981053339999999e-11,0,6.981053339999999e-11,0,6.981053339999999e-11,4.239864728623236e-06,6.981053339999999e-11,0,6.981053339999999e-11,0.2001973846125909
1.15067e-07,0,8.45067e-07,0,7.51198899e-11,0,7.51198899e-11,0,7.51198899e-11,0,7.51198899e-11,0,7.51198899e-11,0,7.51198899e-11,4.240379408327055e-06,7.51198899e-11,0,7.51198899e-11,0.2002123964593786
1.20046e-07,1,9.05067e-07,1,8.20168176e-11,0,8.20168176e-11,0,8.20168176e-11,0,8.20168176e-11,0,8.20168176e-11,0,8.20168176e-11,4.240730611004751e-06,8.20168176e-11,0,8.20168176e-11,0.2002318970552996
1.25067e-07,0,9.15067e-07,0,9.04001394e-11,0,9.04001394e-11,0,9.04001394e-11,0,9.04001394e-11,0,9.04001394e-11,0,9.04001394e-11,4.240928666000473e-06,9.04001394e-11,0,9.04001394e-11,0.2002556003280231
1.30046e-07,1,9.750669999999999e-07,1,1.013453977e-10,0,1.013453977e-10,0,1.013453977e-10,0,1.013453977e-10,0,1.013453977e-10,0,1.013453977e-10,4.241039971404024e-06,1.013453977e-10,0,1.013453977e-10,0.2002865472985112
1.35067e-07,0,9.85067e-07,0,1.158521567e-10,0,1.158521567e-10,0,1.158521567e-10,0,1.158521567e-10,0,1.158521567e-10,0,1.158521567e-10,4.241102106820827e-06,1.158521567e-10,0,1.158521567e-10,0.2003275641622601
1.40046e-07,1,1e-06,0,1.368564951e-10,0,1.368564951e-10,0,1.368564951e-10,0,1.368564951e-10,0,1.368564951e-10,0,1.368564951e-10,4.241143298489863e-06,1.368564951e-10,0,1.368564951e-10,0.2003869524692045
1.45067e-07,0,  ,  ,1.699290833e-10,0,1.699290833e-10,0,1.699290833e-10,0,1.699290833e-10,0,1.699290833e-10,0,1.699290833e-10,4.241173788382751e-06,1.699290833e-10,0,1.699290833e-10,0.200480462868154
1.50046e-07,1,  ,  ,2.325334644e-10,0,2.325334644e-10,0,2.325334644e-10,0,2.325334644e-10,0,2.325334644e-10,0,2.325334644e-10,4.241197860133297e-06,2.325334644e-10,0,2.325334644e-10,0.2006574721233456
1.55067e-07,0,  ,  ,3.577422265e-10,0,3.577422265e-10,0,3.577422265e-10,0,3.577422265e-10,0,3.577422265e-10,0,3.577422265e-10,4.241216698895385e-06,3.577422265e-10,0,3.577422265e-10,0.2010114895561809
1.60046e-07,1,  ,  ,6.081597509e-10,0,6.081597509e-10,0,6.081597509e-10,0,6.081597509e-10,0,6.081597509e-10,0,6.081597509e-10,4.241225843000855e-06,6.081597509e-10,0,6.081597509e-10,0.2017195176270062
1.65067e-07,0,  ,  ,1.1089947995e-09,0,1.1089947995e-09,0,1.1089947995e-09,0,1.1089947995e-09,0,1.1089947995e-09,0,1.1089947995e-09,4.241149992238932e-06,1.1089947995e-09,0,1.1089947995e-09,0.2031355267123394
1.70046e-07,1,  ,  ,2.1106648967e-09,0,2.1106648967e-09,0,2.1106648967e-09,0,2.1106648967e-09,0,2.1106648967e-09,0,2.1106648967e-09,4.240616612505773e-06,2.1106648967e-09,0,2.1106648967e-09,0.205967197650679
1.75067e-07,0,  ,  ,3.5603324483e-09,0,3.5603324483e-09,0,3.5603324483e-09,0,3.5603324483e-09,0,3.5603324483e-09,0,3.5603324483e-09,4.238848312976576e-06,3.5603324483e-09,0,3.5603324483e-09,0.2100638827536767
1.80046e-07,1,  ,  ,5.01e-09,0,5.01e-09,0,5.01e-09,0,5.01e-09,0,5.01e-09,0,5.01e-09,4.235850228619122e-06,5.01e-09,0,5.01e-09,0.2141578626688562
