/CLK X,/CLK Y,/outn X,/outn Y
0,7.754459848977965e-10,0,0.4860319065829626
4.183625023031262e-12,0.003048888960411114,4.183625023031262e-12,0.4861640414432479
5.440740809987234e-12,0.00307297893285359,5.440740809987234e-12,0.4861609504089006
7.954972383899178e-12,0.0005145367267407142,7.954972383899178e-12,0.4860332772491358
1e-11,-0.005592589067288933,1e-11,0.4857492608100791
1.038530279319098e-11,-0.007556928110671598,1.038530279319098e-11,0.4856595063555676
1.105485600207967e-11,-0.01087396665105156,1.105485600207967e-11,0.485510537534719
1.162790393501637e-11,-0.01355575521255605,1.162790393501637e-11,0.485393614811075
1.277399980088978e-11,-0.01859359440033061,1.277399980088978e-11,0.4851810955689003
1.506619153263659e-11,-0.02804583229876755,1.506619153263659e-11,0.4848030528623841
1.862256751541893e-11,-0.04148943865764366,1.862256751541893e-11,0.4843112126265197
2.258628911412514e-11,-0.04788358663123982,2.258628911412514e-11,0.4841849097410181
2.809504582040706e-11,-0.02683910733954138,2.809504582040706e-11,0.4852972255458922
3.399357896328321e-11,0.04707833816242649,3.399357896328321e-11,0.4886920336155448
3.886416024424747e-11,0.1418045968833553,3.886416024424747e-11,0.4934508386367809
4.461020844106846e-11,0.2661762074791411,4.461020844106846e-11,0.5029430723263197
4.897878065104909e-11,0.3525813280232382,4.897878065104909e-11,0.5148314069395493
5.407240282698593e-11,0.442172043386099,5.407240282698593e-11,0.5289424571902009
6.021965266824184e-11,0.5428975513924271,6.021965266824184e-11,0.5373368033455451
6.835903934412562e-11,0.6702361551928082,6.835903934412562e-11,0.5246835290907123
7.867276206771369e-11,0.8237829936563069,7.867276206771369e-11,0.4656209110381279
9.295620331846308e-11,1.017888961757518,9.295620331846308e-11,0.3233644892112356
1.069228151908948e-10,1.173786144645417,1.069228151908948e-10,0.1848181536952997
1.169191888346726e-10,1.268100587543933,1.169191888346726e-10,0.111253105659506
1.286895274300286e-10,1.364791351101373,1.286895274300286e-10,0.05461050344803665
1.415331907043983e-10,1.453972941939031,1.415331907043983e-10,0.03014875385356343
1.48478512914571e-10,1.487799592719041,1.48478512914571e-10,0.02347718579514012
1.558794645971554e-10,1.518597805032978,1.558794645971554e-10,0.01873989019637765
1.636988781378461e-10,1.55127726497366,1.636988781378461e-10,0.01660843847185921
1.735031874398441e-10,1.591886863271864,1.735031874398441e-10,0.01573872237928818
1.830463620269714e-10,1.628596099081372,1.830463620269714e-10,0.01508563893355761
1.938471999846884e-10,1.664579990110971,1.938471999846884e-10,0.01372809339462877
2.060544964254309e-10,1.697601637394531,2.060544964254309e-10,0.01160399181197596
2.214250764760166e-10,1.728876868026538,2.214250764760166e-10,0.008772340002183023
2.41079164140283e-10,1.755973536928339,2.41079164140283e-10,0.005731701594984146
2.682389201338489e-10,1.777797708186839,2.682389201338489e-10,0.002970259999505534
3.033738777865063e-10,1.791154577838618,3.033738777865063e-10,0.001189774376024248
3.440147733513614e-10,1.797048315978193,3.440147733513614e-10,0.0003941042610301625
3.940553354363083e-10,1.79929118882558,3.940553354363083e-10,9.196054570593647e-05
4.470276677181542e-10,1.799830086856052,4.470276677181542e-10,1.854034652799179e-05
5e-10,1.79994165233168,5e-10,3.981765162812845e-06
6.059446645636918e-10,1.799976897595859,6.059446645636918e-10,2.078513770044387e-06
8.178339936910753e-10,1.799974900257873,8.178339936910753e-10,9.184797701402626e-06
1e-09,1.799979118806894,1e-09,1.353599190596783e-05
1.25e-09,1.799979633675551,1.25e-09,-4.846847875843335e-05
1.5e-09,1.79998318792478,1.5e-09,-0.0001259520224073633
2.000000000000001e-09,1.799982454357542,2.000000000000001e-09,-6.877973360253808e-05
2.5e-09,1.799988073707226,2.5e-09,5.58317220913289e-06
3e-09,1.799993039286344,3e-09,-6.592806353031643e-05
3.5e-09,1.799981988381319,3.5e-09,-3.190132601327115e-05
4e-09,1.799994144882226,4e-09,-0.0001331151454834379
4.500000000000001e-09,1.799990058794512,4.500000000000001e-09,-7.805823491552501e-05
5.000000000000001e-09,1.800000087440252,5.000000000000001e-09,-6.965826955692561e-06
5.01e-09,1.799999696107705,5.01e-09,-1.334088634400932e-05
5.01063358999641e-09,1.799372430742843,5.01063358999641e-09,-0.0002404574448807929
5.011634495140806e-09,1.798440654413045,5.011634495140806e-09,-0.0005612183336890148
5.013091060123408e-09,1.797142816800013,5.013091060123408e-09,-0.0009533571252675424
5.016004190088612e-09,1.795034771731045,5.016004190088612e-09,-0.001421628342909536
5.018002095044306e-09,1.79476272548393,5.018002095044306e-09,-0.001258939301957511
5.02e-09,1.795972368172091,5.02e-09,-0.0006068825779813587
5.020417976765631e-09,1.796897521347213,5.020417976765631e-09,-0.0002401677663719384
5.021061379718019e-09,1.798325644393208,5.021061379718019e-09,0.0002433260624494386
5.021630782039272e-09,1.7995743305436,5.021630782039272e-09,0.0006034729899677763
5.022769586681777e-09,1.802117268112552,5.022769586681777e-09,0.001290139049041378
5.025047195966789e-09,1.807020795477532,5.025047195966789e-09,0.002440687354657501
5.029602414536811e-09,1.816014626596351,5.029602414536811e-09,0.003997786913842534
5.037190304661012e-09,1.827572277566641,5.037190304661012e-09,0.004812000058761075
5.044725704507307e-09,1.82201404653006,5.044725704507307e-09,0.001247717088049647
5.052985641905278e-09,1.777033643174404,5.052985641905278e-09,-0.01147403023835985
5.061896799380374e-09,1.67292164479032,5.061896799380374e-09,-0.03200941299755874
5.073839945155454e-09,1.45162094871133,5.073839945155454e-09,-0.06282128642287427
5.085739861203148e-09,1.174119306761603,5.085739861203148e-09,-0.09054765867416241
5.096235165942365e-09,0.9103930523230511,5.096235165942365e-09,-0.1128982277001055
5.107106764948658e-09,0.636222685101489,5.107106764948658e-09,-0.1371419550640064
5.116780587685717e-09,0.4114383820692111,5.116780587685717e-09,-0.157472269087952
5.127927826417789e-09,0.2127218104054228,5.127927826417789e-09,-0.1766872260449246
5.137483171980113e-09,0.1068513643103497,5.137483171980113e-09,-0.1872619667187825
