/outn X,/outn Y,/input X,/input Y,/reference X,/reference Y,/CLK X,/CLK Y,diff X,diff Y
0,0.46532429840773,0,0.9499999999999069,0,0.4499999999999654,0,7.754460063582596e-10,0,0.4999999999999415
8.539788817971763e-13,0.4653882333167264,8.539788817971763e-13,0.9500243709824117,8.539788817971763e-13,0.4500152010485358,8.539788817971763e-13,0.001371920561556501,8.539788817971763e-13,0.5000091699338759
1.69996284133706e-12,0.4654424702423309,1.69996284133706e-12,0.9500410136536536,1.69996284133706e-12,0.4500233241389905,1.69996284133706e-12,0.002564461312588818,1.69996284133706e-12,0.5000176895146631
3.391930760416827e-12,0.4655348999953318,3.391930760416827e-12,0.9500607749388906,3.391930760416827e-12,0.4500301225347486,3.391930760416827e-12,0.004656477487262642,3.391930760416827e-12,0.500030652404142
5.274758758469782e-12,0.4655589103659274,5.274758758469782e-12,0.9500423885774772,5.274758758469782e-12,0.4500144948415504,5.274758758469782e-12,0.005398211445787582,5.274758758469782e-12,0.5000278937359268
7.306719032533333e-12,0.4654528443538255,7.306719032533333e-12,0.9499742307109379,7.306719032533333e-12,0.4499748353162699,7.306719032533333e-12,0.003396681145193403,7.306719032533333e-12,0.499999395394668
8.653359516266666e-12,0.4653018537473604,8.653359516266666e-12,0.9499029930065868,8.653359516266666e-12,0.4499448469651473,8.653359516266666e-12,0.000290984970805279,8.653359516266666e-12,0.4999581460414395
1e-11,0.4650891989263654,1e-11,0.9498290830132771,1e-11,0.4499157925973539,1e-11,-0.0042784853467442,1e-11,0.4999132904159232
1.025092352823159e-11,0.4650279486925883,1.025092352823159e-11,0.9498060409441116,1.025092352823159e-11,0.4499037841083099,1.025092352823159e-11,-0.005606687451562055,1.025092352823159e-11,0.4999022568358017
1.074392372867997e-11,0.4649119335960786,1.074392372867997e-11,0.9497679397681985,1.074392372867997e-11,0.4498865875349077,1.074392372867997e-11,-0.008153799747032267,1.074392372867997e-11,0.4998813522332908
1.118374774752654e-11,0.4648154807901227,1.118374774752654e-11,0.9497448253233876,1.118374774752654e-11,0.449879974734988,1.118374774752654e-11,-0.01031938920690913,1.118374774752654e-11,0.4998648505883995
1.206339578521969e-11,0.4646389608686709,1.206339578521969e-11,0.9497191038040242,1.206339578521969e-11,0.4498779311168898,1.206339578521969e-11,-0.01439845595632295,1.206339578521969e-11,0.4998411726871345
1.382269186060597e-11,0.4643322665660048,1.382269186060597e-11,0.9497114261253115,1.382269186060597e-11,0.4498862640540843,1.382269186060597e-11,-0.02185599472995934,1.382269186060597e-11,0.4998251620712271
1.734128401137854e-11,0.4637960196873094,1.734128401137854e-11,0.9497348523245114,1.734128401137854e-11,0.4498911951013959,1.734128401137854e-11,-0.03593306582915628,1.734128401137854e-11,0.4998436572231155
2.092198787460015e-11,0.4634557586079491,2.092198787460015e-11,0.9498219684079396,2.092198787460015e-11,0.4499204365488869,2.092198787460015e-11,-0.04657164271054156,2.092198787460015e-11,0.4999015318590527
2.709130477261495e-11,0.4640885191553263,2.709130477261495e-11,0.9501804011769073,2.709130477261495e-11,0.4500705834660107,2.709130477261495e-11,-0.03701867814312818,2.709130477261495e-11,0.5001098177108966
3.285056604715263e-11,0.466770549986101,3.285056604715263e-11,0.950730406712878,3.285056604715263e-11,0.4503200211523238,3.285056604715263e-11,0.02142166720989468,3.285056604715263e-11,0.5004103855605542
3.7951016800557e-11,0.471133785426233,3.7951016800557e-11,0.9512056811635453,3.7951016800557e-11,0.4505371345787941,3.7951016800557e-11,0.1126676626570429,3.7951016800557e-11,0.5006685465847511
4.289991175222714e-11,0.4779452367830538,4.289991175222714e-11,0.9515186038652805,4.289991175222714e-11,0.4507190658221233,4.289991175222714e-11,0.2189913967844195,4.289991175222714e-11,0.5007995380431571
4.783828905071434e-11,0.4897566040172288,4.783828905071434e-11,0.9517896007130834,4.783828905071434e-11,0.4509431106635449,4.783828905071434e-11,0.321540684738686,4.783828905071434e-11,0.5008464900495385
5.243075366985442e-11,0.5035392090403631,5.243075366985442e-11,0.9518616495747722,5.243075366985442e-11,0.4510477090352974,5.243075366985442e-11,0.4055683765976877,5.243075366985442e-11,0.5008139405394747
5.83366745032203e-11,0.5161568110719352,5.83366745032203e-11,0.9516050841903448,5.83366745032203e-11,0.4509762136460928,5.83366745032203e-11,0.5044856407331278,5.83366745032203e-11,0.5006288705442521
6.600840838583845e-11,0.5130756750663018,6.600840838583845e-11,0.950680353675178,6.600840838583845e-11,0.4505319913053548,6.600840838583845e-11,0.6262510503075851,6.600840838583845e-11,0.5001483623698233
7.527930384837819e-11,0.4730302393765417,7.527930384837819e-11,0.9487001933133572,7.527930384837819e-11,0.449544146491073,7.527930384837819e-11,0.7667152658340025,7.527930384837819e-11,0.4991560468222842
8.790368251681386e-11,0.3583496572502975,8.790368251681386e-11,0.9461012974440903,8.790368251681386e-11,0.4476082066293497,8.790368251681386e-11,0.9449982638449363,8.790368251681386e-11,0.4984930908147406
1.00673876492304e-10,0.2191658135607215,1.00673876492304e-10,0.9429371434231352,1.00673876492304e-10,0.4449079366161346,1.00673876492304e-10,1.100684652192236,1.00673876492304e-10,0.4980292068070005
1.109582647904179e-10,0.1328708583400351,1.109582647904179e-10,0.9396204670676681,1.109582647904179e-10,0.442593045998693,1.109582647904179e-10,1.207066807313934,1.109582647904179e-10,0.4970274210689751
