/CLK X,/CLK Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/Vout X,/Vout Y,/Vin X,/Vin Y
0,7.754458560692191e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e-09,1.799995415844155,4e-09,0,4e-09,0,4e-09,0,4e-09,0,4e-09,0,4e-09,0,4e-09,0.0005555555555579872
8e-09,4.483363103522389e-09,8e-09,0,8e-09,0,8e-09,0,8e-09,0,8e-09,0,8e-09,0,8e-09,0.001111111111119749
1.2e-08,1.799989436615043,1.2e-08,0,1.2e-08,0,1.2e-08,0,1.2e-08,0,1.2e-08,0,1.2e-08,0,1.2e-08,0.001666666666675045
1.6e-08,-0.0002239566574586512,1.6e-08,0,1.6e-08,0,1.6e-08,0,1.6e-08,0,1.6e-08,0,1.6e-08,0,1.6e-08,0.002222222222230669
2e-08,-1.342119646176591e-08,2e-08,0,2e-08,0,2e-08,0,2e-08,0,2e-08,0,2e-08,0,2e-08,0.002777777777777778
2.4e-08,1.799994786096739,2.4e-08,0,2.4e-08,0,2.4e-08,0,2.4e-08,0,2.4e-08,0,2.4e-08,0,2.4e-08,0.0033333333333418
2.8e-08,-2.376418789003205e-09,2.8e-08,0,2.8e-08,0,2.8e-08,0,2.8e-08,0,2.8e-08,0,2.8e-08,0,2.8e-08,0.003888888888897923
3.2e-08,1.799988696298452,3.2e-08,0,3.2e-08,0,3.2e-08,0,3.2e-08,0,3.2e-08,0,3.2e-08,0,3.2e-08,0.004444444444448309
3.6e-08,0.000186088113858006,3.6e-08,0,3.6e-08,0,3.6e-08,0,3.6e-08,0,3.6e-08,0,3.6e-08,0,3.6e-08,0.005000000000008378
4.000000000000001e-08,-1.743700565855691e-08,4.000000000000001e-08,0,4.000000000000001e-08,0,4.000000000000001e-08,0,4.000000000000001e-08,0,4.000000000000001e-08,0,4.000000000000001e-08,0,4.000000000000001e-08,0.005555555555555556
4.400000000000001e-08,1.799994891071663,4.400000000000001e-08,0,4.400000000000001e-08,0,4.400000000000001e-08,0,4.400000000000001e-08,0,4.400000000000001e-08,0,4.400000000000001e-08,0,4.400000000000001e-08,0.006111111111121322
4.800000000000001e-08,-5.077498576717718e-09,4.800000000000001e-08,0,4.800000000000001e-08,0,4.800000000000001e-08,0,4.800000000000001e-08,0,4.800000000000001e-08,0,4.800000000000001e-08,0,4.800000000000001e-08,0.006666666666673274
5.200000000000002e-08,1.799989209105744,5.200000000000002e-08,0,5.200000000000002e-08,0,5.200000000000002e-08,0,5.200000000000002e-08,0,5.200000000000002e-08,0,5.200000000000002e-08,0,5.200000000000002e-08,0.007222222222224669
5.600000000000002e-08,0.0002743315434730029,5.600000000000002e-08,0,5.600000000000002e-08,0,5.600000000000002e-08,0,5.600000000000002e-08,0,5.600000000000002e-08,0,5.600000000000002e-08,0,5.600000000000002e-08,0.007777777777786101
6.000000000000002e-08,-5.19487949981998e-08,6.000000000000002e-08,0,6.000000000000002e-08,0,6.000000000000002e-08,0,6.000000000000002e-08,0,6.000000000000002e-08,0,6.000000000000002e-08,0,6.000000000000002e-08,0.008333333333333333
6.400000000000002e-08,1.799995065962162,6.400000000000002e-08,0,6.400000000000002e-08,0,6.400000000000002e-08,0,6.400000000000002e-08,0,6.400000000000002e-08,0,6.400000000000002e-08,0,6.400000000000002e-08,0.008888888888897219
6.800000000000001e-08,8.954687802719036e-09,6.800000000000001e-08,0,6.800000000000001e-08,0,6.800000000000001e-08,0,6.800000000000001e-08,0,6.800000000000001e-08,0,6.800000000000001e-08,0,6.800000000000001e-08,0.00944444444445482
7.200000000000001e-08,1.799989686205567,7.200000000000001e-08,0,7.200000000000001e-08,0,7.200000000000001e-08,0,7.200000000000001e-08,0,7.200000000000001e-08,0,7.200000000000001e-08,0,7.200000000000001e-08,0.01000000000000672
7.600000000000001e-08,0.0002673545368646371,7.600000000000001e-08,0,7.600000000000001e-08,0,7.600000000000001e-08,0,7.600000000000001e-08,0,7.600000000000001e-08,0,7.600000000000001e-08,0,7.600000000000001e-08,0.01055555555556019
8e-08,6.468088295902859e-08,8e-08,0,8e-08,0,8e-08,0,8e-08,0,8e-08,0,8e-08,0,8e-08,0.01111111111111111
