out0X,out0Y,out1X,out1Y,out2X,out2Y,out3X,out3Y,out4X,out4Y,SAR_out_analogX,SAR_out_analogY,SW_inpX,SW_inpY,VinX,VinY
3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0.28338
3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0.28423
3.5022e-08,0,3.5022e-08,0,3.5022e-08,0,3.5022e-08,0,3.5022e-08,0,3.5022e-08,0,3.5022e-08,0,3.5022e-08,0.29645
3.5067e-08,0,3.5067e-08,0,3.5067e-08,0,3.5067e-08,0,3.5067e-08,0,3.5067e-08,0,3.5067e-08,0,3.5067e-08,0.29657
3.5107e-08,0,3.5107e-08,0,3.5107e-08,0,3.5107e-08,0,3.5107e-08,0,3.5107e-08,0,3.5107e-08,0,3.5107e-08,0.29668
3.5196e-08,0,3.5196e-08,0,3.5196e-08,0,3.5196e-08,0,3.5196e-08,0,3.5196e-08,0,3.5196e-08,0,3.5196e-08,0.29691
3.5251e-08,0,3.5251e-08,0,3.5251e-08,0,3.5251e-08,0,3.5251e-08,0,3.5251e-08,0,3.5251e-08,0,3.5251e-08,0.29705
3.5343e-08,0,3.5343e-08,0,3.5343e-08,0,3.5343e-08,0,3.5343e-08,0,3.5343e-08,0,3.5343e-08,0,3.5343e-08,0.29729
4.0006e-08,0,4.0006e-08,0,4.0006e-08,0,4.0006e-08,0,4.0006e-08,0,4.0006e-08,0,4.0006e-08,0,4.0006e-08,0.30929
4.0034e-08,0,4.0034e-08,0,4.0034e-08,0,4.0034e-08,0,4.0034e-08,0,4.0034e-08,0,4.0034e-08,0,4.0034e-08,0.30937
4.0076e-08,0,4.0076e-08,0,4.0076e-08,0,4.0076e-08,0,4.0076e-08,0,4.0076e-08,0,4.0076e-08,0,4.0076e-08,0.30947
4.1213e-08,0,4.1213e-08,0,4.1213e-08,0,4.1213e-08,0,4.1213e-08,0,4.1213e-08,0,4.1213e-08,0,4.1213e-08,0.31235
4.5027e-08,0,4.5027e-08,0,4.5027e-08,0,4.5027e-08,0,4.5027e-08,0,4.5027e-08,0,4.5027e-08,0,4.5027e-08,0.32188
4.5073e-08,0,4.5073e-08,0,4.5073e-08,0,4.5073e-08,0,4.5073e-08,0,4.5073e-08,0,4.5073e-08,0,4.5073e-08,0.32199
4.513e-08,0,4.513e-08,0,4.513e-08,0,4.513e-08,0,4.513e-08,0,4.513e-08,0,4.513e-08,0,4.513e-08,0.32213
4.5202e-08,0,4.5202e-08,0,4.5202e-08,0,4.5202e-08,0,4.5202e-08,0,4.5202e-08,0,4.5202e-08,0,4.5202e-08,0.32231
4.5254e-08,0,4.5254e-08,0,4.5254e-08,0,4.5254e-08,0,4.5254e-08,0,4.5254e-08,0,4.5254e-08,0,4.5254e-08,0.32244
4.5411e-08,0,4.5411e-08,0,4.5411e-08,0,4.5411e-08,0,4.5411e-08,0,4.5411e-08,0,4.5411e-08,0,4.5411e-08,0.32283
5.001e-08,0,5.001e-08,0,5.001e-08,0,5.001e-08,0,5.001e-08,0,5.001e-08,0,5.001e-08,0,5.001e-08,0.33398
5.0038e-08,0,5.0038e-08,0,5.0038e-08,0,5.0038e-08,0,5.0038e-08,0,5.0038e-08,0,5.0038e-08,0,5.0038e-08,0.33405
5.0083e-08,0,5.0083e-08,0,5.0083e-08,0,5.0083e-08,0,5.0083e-08,0,5.0083e-08,0,5.0083e-08,0,5.0083e-08,0.33415
5.232e-08,0,5.232e-08,0,5.232e-08,0,5.232e-08,0,5.232e-08,0,5.232e-08,0,5.232e-08,0,5.232e-08,0.33945
5.5031e-08,0,5.5031e-08,0,5.5031e-08,0,5.5031e-08,0,5.5031e-08,0,5.5031e-08,0,5.5031e-08,0,5.5031e-08,0.34574
5.5075e-08,0,5.5075e-08,0,5.5075e-08,0,5.5075e-08,0,5.5075e-08,0,5.5075e-08,0,5.5075e-08,0,5.5075e-08,0.34584
