/input X,/input Y,/reference X,/reference Y,/CLK X,/CLK Y,/outn X,/outn Y
0,0.7,0,0.7,0,7.754459848977965e-10,0,0.486084198786681
4.183625023031262e-12,0.700026286491227,4.183625023031262e-12,0.7,4.183625023031262e-12,0.003048516110670109,4.183625023031262e-12,0.4862170628747515
5.440747168482092e-12,0.7000341852225626,5.440747168482092e-12,0.7,5.440747168482092e-12,0.003073895596579576,5.440747168482092e-12,0.4862155530939869
7.954991459383753e-12,0.7000499826851233,7.954991459383753e-12,0.7,7.954991459383753e-12,0.0005210876536469098,7.954991459383753e-12,0.4860945354259196
1e-11,0.7000628318524103,1e-11,0.7,1e-11,-0.00557938524776315,1e-11,0.4858187497491527
1.03853015451679e-11,0.7000652527733383,1.03853015451679e-11,0.7,1.03853015451679e-11,-0.00754184665759248,1.03853015451679e-11,0.4857313515019727
1.105485256140233e-11,0.7000694596862932,1.105485256140233e-11,0.7,1.105485256140233e-11,-0.01085716082729317,1.105485256140233e-11,0.4855853482651254
1.162789752411742e-11,0.700073060233837,1.162789752411742e-11,0.7,1.162789752411742e-11,-0.01353934836009331,1.162789752411742e-11,0.4854695379078829
1.27739874495476e-11,0.7000802613288782,1.27739874495476e-11,0.7,1.27739874495476e-11,-0.01857967850010004,1.27739874495476e-11,0.4852577030484021
1.506616730040797e-11,0.7000946635187553,1.506616730040797e-11,0.7,1.506616730040797e-11,-0.02803689485566776,1.506616730040797e-11,0.4848799562684475
1.86220490824153e-11,0.7001170057809125,1.86220490824153e-11,0.7,1.86220490824153e-11,-0.04148414633451889,1.86220490824153e-11,0.4843886229461197
2.258553330944885e-11,0.7001419090834239,2.258553330944885e-11,0.7,2.258553330944885e-11,-0.04789196678509073,2.258553330944885e-11,0.4842543353731205
2.809373204116668e-11,0.700176518109718,2.809373204116668e-11,0.7,2.809373204116668e-11,-0.02687856551089069,2.809373204116668e-11,0.4853465358442925
3.399134682403111e-11,0.7002135739049575,3.399134682403111e-11,0.7,3.399134682403111e-11,0.04698010951201035,3.399134682403111e-11,0.4887058369051555
3.886168475215394e-11,0.7002441751278253,3.886168475215394e-11,0.7,3.886168475215394e-11,0.1416757876532386,3.886168475215394e-11,0.4934385162918989
4.460604654308354e-11,0.7002802679975438,4.460604654308354e-11,0.7,4.460604654308354e-11,0.2660200841287238,4.460604654308354e-11,0.5028963203571518
4.897492852041632e-11,0.7003077184735981,4.897492852041632e-11,0.7,4.897492852041632e-11,0.3524437070546065,4.897492852041632e-11,0.5147598132084885
5.406708839684419e-11,0.700339713430871,5.406708839684419e-11,0.7,5.406708839684419e-11,0.4420292798439763,5.406708839684419e-11,0.5288716555366999
6.021403731187607e-11,0.7003783358101124,6.021403731187607e-11,0.7,6.021403731187607e-11,0.5427817895428186,6.021403731187607e-11,0.5373168984707213
6.835139915065735e-11,0.700429464295641,6.835139915065735e-11,0.7,6.835139915065735e-11,0.6701515636854237,6.835139915065735e-11,0.5247931882668595
7.865716844589837e-11,0.7004942172431819,7.865716844589837e-11,0.7,7.865716844589837e-11,0.8236828492456258,7.865716844589837e-11,0.4659969913975285
9.293418404667168e-11,0.7005839221688098,9.293418404667168e-11,0.7,9.293418404667168e-11,1.017895254232487,9.293418404667168e-11,0.3241082052759892
1.069264365128524e-10,0.7006718378061912,1.069264365128524e-10,0.7,1.069264365128524e-10,1.174157857589661,1.069264365128524e-10,0.1853729251497396
1.169341756018966e-10,0.700734718036422,1.169341756018966e-10,0.7,1.169341756018966e-10,1.268624489865221,1.169341756018966e-10,0.1116567437024762
1.287096092867976e-10,0.7008087049155677,1.287096092867976e-10,0.7,1.287096092867976e-10,1.365357785483234,1.287096092867976e-10,0.0547805719176919
1.414321451611086e-10,0.7008886425051002,1.414321451611086e-10,0.7,1.414321451611086e-10,1.453731665279516,1.414321451611086e-10,0.03002131237049189
1.483007227352691e-10,0.7009317987646987,1.483007227352691e-10,0.7,1.483007227352691e-10,1.487257568891586,1.483007227352691e-10,0.02340303805538882
1.557619399391114e-10,0.7009786786327192,1.557619399391114e-10,0.7,1.557619399391114e-10,1.518160588076897,1.557619399391114e-10,0.01858175551081533
1.633294597204639e-10,0.701026226379495,1.633294597204639e-10,0.7,1.633294597204639e-10,1.54965649551983,1.633294597204639e-10,0.01650394718603866
1.730655528522201e-10,0.7010873995100783,1.730655528522201e-10,0.7,1.730655528522201e-10,1.590004209863848,1.730655528522201e-10,0.0156651924477849
1.825115369246269e-10,0.701146749785781,1.825115369246269e-10,0.7,1.825115369246269e-10,1.626544944976284,1.825115369246269e-10,0.01508464129481267
1.931981517217285e-10,0.7012138950182903,1.931981517217285e-10,0.7,1.931981517217285e-10,1.662518601238413,1.931981517217285e-10,0.01381002628338223
2.052615800749782e-10,0.701289690823598,2.052615800749782e-10,0.7,2.052615800749782e-10,1.695635769776938,2.052615800749782e-10,0.0117489328176507
2.203884136270161e-10,0.7013847341617104,2.203884136270161e-10,0.7,2.203884136270161e-10,1.727046925357314,2.203884136270161e-10,0.008958995802684507
2.397451361405224e-10,0.7015063540018598,2.397451361405224e-10,0.7,2.397451361405224e-10,1.754477941042093,2.397451361405224e-10,0.005912479741085126
2.663535664584455e-10,0.7016735363160665,2.663535664584455e-10,0.7,2.663535664584455e-10,1.776688135176633,2.663535664584455e-10,0.003116316698573345
3.012731635562532e-10,0.7018929370267921,3.012731635562532e-10,0.7,3.012731635562532e-10,1.790649688453129,3.012731635562532e-10,0.001258168157280374
3.414610156177473e-10,0.7021454365014982,3.414610156177473e-10,0.7,3.414610156177473e-10,1.796835967439185,3.414610156177473e-10,0.0004234341913892244
3.908576676054606e-10,0.7024557916574753,3.908576676054606e-10,0.7,3.908576676054606e-10,1.799225056131767,3.908576676054606e-10,0.0001013534646625478
4.552626765008255e-10,0.7028604373445146,4.552626765008255e-10,0.7,4.552626765008255e-10,1.799895972680498,4.552626765008255e-10,1.061024083979611e-05
5.488381893850681e-10,0.7034483426929335,5.488381893850681e-10,0.7,5.488381893850681e-10,1.799984978058111,5.488381893850681e-10,-1.198509113404861e-06
6.993340273574117e-10,0.7043938190526825,6.993340273574117e-10,0.7,6.993340273574117e-10,1.799975738472551,6.993340273574117e-10,1.966593029907788e-07
9.912234707355705e-10,0.7062273965639646,9.912234707355705e-10,0.7,9.912234707355705e-10,1.799981892088387,9.912234707355705e-10,-1.490463239088216e-07
1.575002357491888e-09,0.7098934475200703,1.575002357491888e-09,0.7,1.575002357491888e-09,1.799984660160705,1.575002357491888e-09,8.667458295530903e-08
2.742560131004523e-09,0.7172183716574522,2.742560131004523e-09,0.7,2.742560131004523e-09,1.79999150023971,2.742560131004523e-09,-8.952371714943705e-08
3.876280065502262e-09,0.7243168782447595,3.876280065502262e-09,0.7,3.876280065502262e-09,1.799992627244187,3.876280065502262e-09,6.777660835069352e-08
5.01e-09,0.7313956438059716,5.01e-09,0.7,5.01e-09,1.799995479101077,5.01e-09,-6.298690598362443e-08
5.015973544000967e-09,0.7314328791944599,5.015973544000967e-09,0.7,5.015973544000967e-09,1.797022746576574,5.015973544000967e-09,-0.0007139645651416604
5.02e-09,0.7314579772377466,5.02e-09,0.7,5.02e-09,1.797719478459207,5.02e-09,-0.0002480137332063629
5.020423787899735e-09,0.731460618809299,5.020423787899735e-09,0.7,5.020423787899735e-09,1.798653468707167,5.020423787899735e-09,8.025265218986696e-05
5.021189301820863e-09,0.7314653904320012,5.021189301820863e-09,0.7,5.021189301820863e-09,1.800349659859321,5.021189301820863e-09,0.0005768953030520088
5.022023151568783e-09,0.7314705879942298,5.022023151568783e-09,0.7,5.022023151568783e-09,1.802229047086012,5.022023151568783e-09,0.00109390294939456
5.023690851064624e-09,0.7314809830772196,5.023690851064624e-09,0.7,5.023690851064624e-09,1.805863484464595,5.023690851064624e-09,0.001995632907933522
5.027026250056305e-09,0.7315017730772665,5.027026250056305e-09,0.7,5.027026250056305e-09,1.812666832661905,5.027026250056305e-09,0.003354670058947329
5.033697048039667e-09,0.731543352413117,5.033697048039667e-09,0.7,5.033697048039667e-09,1.824492523415281,5.033697048039667e-09,0.004777288553869014
5.041501713681562e-09,0.731591998063339,5.041501713681562e-09,0.7,5.041501713681562e-09,1.826164334555326,5.041501713681562e-09,0.002868967417170845
5.048975008846691e-09,0.7316385771774636,5.048975008846691e-09,0.7,5.048975008846691e-09,1.798215156406613,5.048975008846691e-09,-0.005972569171989012
5.057650365383966e-09,0.7316926470289501,5.057650365383966e-09,0.7,5.057650365383966e-09,1.717713983163125,5.057650365383966e-09,-0.02383674933251888
5.068504610748548e-09,0.7317602948567336,5.068504610748548e-09,0.7,5.068504610748548e-09,1.540879916173918,5.068504610748548e-09,-0.05163537763507248
5.078824102505694e-09,0.7318246077028915,5.078824102505694e-09,0.7,5.078824102505694e-09,1.31622420610969,5.078824102505694e-09,-0.07714013368818799
5.08984223487457e-09,0.7318932722342868,5.08984223487457e-09,0.7,5.08984223487457e-09,1.047139688104484,5.08984223487457e-09,-0.1011941657368865
5.100091085679039e-09,0.731957140440383,5.100091085679039e-09,0.7,5.100091085679039e-09,0.7867318882319073,5.100091085679039e-09,-0.1234770938168845
5.110547768805184e-09,0.7320223016188684,5.110547768805184e-09,0.7,5.110547768805184e-09,0.5288286699043038,5.110547768805184e-09,-0.1467608741854709
5.120665543619645e-09,0.7320853487733581,5.120665543619645e-09,0.7,5.120665543619645e-09,0.3140408832201948,5.120665543619645e-09,-0.1666860735456327
5.130854748663779e-09,0.7321488389361659,5.130854748663779e-09,0.7,5.130854748663779e-09,0.1619022063356419,5.130854748663779e-09,-0.1821625357334345
5.140439968274799e-09,0.7322085636686175,5.140439968274799e-09,0.7,5.140439968274799e-09,0.0786639928761272,5.140439968274799e-09,-0.1898349949530288
5.150446025351486e-09,0.7322709086113161,5.150446025351486e-09,0.7,5.150446025351486e-09,0.0371194061301424,5.150446025351486e-09,-0.1927855362681169
5.162099803558023e-09,0.7323435174705304,5.162099803558023e-09,0.7,5.162099803558023e-09,0.01760746749974879,5.162099803558023e-09,-0.1937497079495926
5.172730163587762e-09,0.7324097475036641,5.172730163587762e-09,0.7,5.172730163587762e-09,0.0107552590432826,5.172730163587762e-09,-0.1935945017419736
5.185595322715123e-09,0.7324898978482853,5.185595322715123e-09,0.7,5.185595322715123e-09,0.006789354765810629,5.185595322715123e-09,-0.1929097272085326
5.202643601552899e-09,0.732596103925493,5.202643601552899e-09,0.7,5.202643601552899e-09,0.00401423555021069,5.202643601552899e-09,-0.1916130290524763
5.222375334335285e-09,0.7327190197084742,5.222375334335285e-09,0.7,5.222375334335285e-09,0.002671628557185972,5.222375334335285e-09,-0.1898114247410269
5.246556822709064e-09,0.7328696435807404,5.246556822709064e-09,0.7,5.246556822709064e-09,0.002045795924231331,5.246556822709064e-09,-0.1874485371887039
5.27739585947901e-09,0.733061718979061,5.27739585947901e-09,0.7,5.27739585947901e-09,0.001628126002830467,5.27739585947901e-09,-0.184606095815147
5.314267346397685e-09,0.7332913403302892,5.314267346397685e-09,0.7,5.314267346397685e-09,0.001380466540850488,5.314267346397685e-09,-0.1818121737273086
5.353170430715093e-09,0.7335335826851849,5.353170430715093e-09,0.7,5.353170430715093e-09,0.00133530865553864,5.353170430715093e-09,-0.1715295528875468
5.401181062443942e-09,0.7338324918455627,5.401181062443942e-09,0.7,5.401181062443942e-09,0.00143549167882857,5.401181062443942e-09,-0.1405351191085848
5.46761109371823e-09,0.73424599693266,5.46761109371823e-09,0.7,5.46761109371823e-09,0.001512034359697205,5.46761109371823e-09,-0.04623568513937257
5.533483969895459e-09,0.7346559396540416,5.533483969895459e-09,0.7,5.533483969895459e-09,0.001138937887209973,5.533483969895459e-09,0.1182578903433757
5.586608373911429e-09,0.7349864764332537,5.586608373911429e-09,0.7,5.586608373911429e-09,0.001139083143656404,5.586608373911429e-09,0.2772889775256626
5.646031189970033e-09,0.7353561276189161,5.646031189970033e-09,0.7,5.646031189970033e-09,0.0007058748133634572,5.646031189970033e-09,0.4239748306765245
5.690973983026213e-09,0.7356356506735086,5.690973983026213e-09,0.7,5.690973983026213e-09,0.0004725749852785387,5.690973983026213e-09,0.5085135736387476
5.73541533166022e-09,0.7359120102730496,5.73541533166022e-09,0.7,5.73541533166022e-09,0.0001221557177935862,5.73541533166022e-09,0.5776859554883709
5.788607259936649e-09,0.7362427266312371,5.788607259936649e-09,0.7,5.788607259936649e-09,-0.0001252197155073003,5.788607259936649e-09,0.6632493738419363
5.824361703345776e-09,0.7364649905219915,5.824361703345776e-09,0.7,5.824361703345776e-09,-0.0001182919403913189,5.824361703345776e-09,0.727975352405592
5.861512763211208e-09,0.7366959051425762,5.861512763211208e-09,0.7,5.861512763211208e-09,7.84824618356471e-05,5.861512763211208e-09,0.8061185295467819
5.89656303361699e-09,0.7369137328554505,5.89656303361699e-09,0.7,5.89656303361699e-09,0.00019006118239481,5.89656303361699e-09,0.8891979359871793
5.95203288387255e-09,0.7372584039904277,5.95203288387255e-09,0.7,5.95203288387255e-09,0.0002616521671960196,5.95203288387255e-09,1.025449548168202
6.00031113206239e-09,0.7375583299947353,6.00031113206239e-09,0.7,6.00031113206239e-09,0.0002632071728910104,6.00031113206239e-09,1.140185419603241
6.06757286377916e-09,0.7379760975825387,6.06757286377916e-09,0.7,6.06757286377916e-09,0.0002341500361985241,6.06757286377916e-09,1.282622458819086
6.148108164753985e-09,0.7384761654251432,6.148108164753985e-09,0.7,6.148108164753985e-09,0.0001964689493325765,6.148108164753985e-09,1.421904592075552
6.279824421122019e-09,0.739293690509674,6.279824421122019e-09,0.7,6.279824421122019e-09,0.0001473796702402956,6.279824421122019e-09,1.581450328969359
6.415780311493276e-09,0.7401370780674134,6.415780311493276e-09,0.7,6.415780311493276e-09,0.0001015731609318407,6.415780311493276e-09,1.679103930975902
6.55349164378106e-09,0.7409908775391887,6.55349164378106e-09,0.7,6.55349164378106e-09,5.42709692837783e-05,6.55349164378106e-09,1.735043515584031
6.690964765466921e-09,0.7418427103755425,6.690964765466921e-09,0.7,6.690964765466921e-09,3.375234109931725e-05,6.690964765466921e-09,1.765440496802188
6.849074457629158e-09,0.7428217965862227,6.849074457629158e-09,0.7,6.849074457629158e-09,1.391522008514612e-05,6.849074457629158e-09,1.783574985510121
7.033098117559612e-09,0.7439605011615671,7.033098117559612e-09,0.7,7.033098117559612e-09,7.790165025746511e-06,7.033098117559612e-09,1.793262345435896
7.262486926754723e-09,0.7453785974986505,7.262486926754723e-09,0.7,7.262486926754723e-09,9.301468457447819e-07,7.262486926754723e-09,1.797925434536523
7.554486627025406e-09,0.7471815702401335,7.554486627025406e-09,0.7,7.554486627025406e-09,1.41919063491083e-06,7.554486627025406e-09,1.799641823553137
7.952115112456115e-09,0.7496326504241855,7.952115112456115e-09,0.7,7.952115112456115e-09,-8.200842252512976e-07,7.952115112456115e-09,1.800047649576229
8.536810019663777e-09,0.7532277814181764,8.536810019663777e-09,0.7,8.536810019663777e-09,8.751849914640851e-07,8.536810019663777e-09,1.80006713091412
9.268405009831889e-09,0.7577098816461078,9.268405009831889e-09,0.7,9.268405009831889e-09,-8.364426585860287e-07,9.268405009831889e-09,1.800058142937625
1e-08,0.7621724717912136,1e-08,0.7,1e-08,8.002388259024171e-07,1e-08,1.800060966765506
1.000514417175715e-08,0.7622037776076244,1.000514417175715e-08,0.7,1.000514417175715e-08,0.00171317078580688,1.000514417175715e-08,1.800123184321843
1.000757208587857e-08,0.7622185527705784,1.000757208587857e-08,0.7,1.000757208587857e-08,0.0003880947942749624,1.000757208587857e-08,1.800063969669774
1.001e-08,0.7622333277018641,1.001e-08,0.7,1.001e-08,-0.006237546557592745,1.001e-08,1.79978726131203
1.001039781715313e-08,0.7622357485731007,1.001039781715313e-08,0.7,1.001039781715313e-08,-0.008237269491164228,1.001039781715313e-08,1.799708909115319
1.001111624737967e-08,0.7622401204831264,1.001111624737967e-08,0.7,1.001111624737967e-08,-0.01174956240799748,1.001111624737967e-08,1.799574510223678
1.001174633678716e-08,0.7622439547903372,1.001174633678716e-08,0.7,1.001174633678716e-08,-0.01466064213556711,1.001174633678716e-08,1.799467941063667
1.001300651560215e-08,0.7622516233579305,1.001300651560215e-08,0.7,1.001300651560215e-08,-0.02014963367652436,1.001300651560215e-08,1.799278364471643
1.001552687323213e-08,0.7622669603057755,1.001552687323213e-08,0.7,1.001552687323213e-08,-0.03062811848594588,1.001552687323213e-08,1.79895030574662
1.001891540104773e-08,0.7622875798723536,1.001891540104773e-08,0.7,1.001891540104773e-08,-0.04281974812131888,1.001891540104773e-08,1.798630290942007
1.0023771560344e-08,0.7623171293511726,1.0023771560344e-08,0.7,1.0023771560344e-08,-0.04557395301090496,1.0023771560344e-08,1.798766379764935
1.002934787658253e-08,0.7623510598028457,1.002934787658253e-08,0.7,1.002934787658253e-08,-0.01144816684370766,1.002934787658253e-08,1.80023068475456
1.003458255300981e-08,0.7623829103496319,1.003458255300981e-08,0.7,1.003458255300981e-08,0.06401046349873264,1.003458255300981e-08,1.80313159279328
1.003939421245638e-08,0.7624121860844419,1.003939421245638e-08,0.7,1.003939421245638e-08,0.1603961799949377,1.003939421245638e-08,1.807439744834918
1.004347262543881e-08,0.7624369997894639,1.004347262543881e-08,0.7,1.004347262543881e-08,0.248513858603775,1.004347262543881e-08,1.813433248581309
1.004774692847757e-08,0.7624630046163251,1.004774692847757e-08,0.7,1.004774692847757e-08,0.3342829295630055,1.004774692847757e-08,1.823830666795385
1.005267155989248e-08,0.7624929651423299,1.005267155989248e-08,0.7,1.005267155989248e-08,0.4218005619859179,1.005267155989248e-08,1.83761064550579
